x,prev,prevN,y
case,the,acknowledged allowing,-1
moment,next,him the,-1
husband,her,seeing in,-1
sense,her,yet expressed,-1
suspicion,a,has created,-1
tidings,some,send you,1
bitterness,dreadful,in a,-1
affection,his,certainty that,-1
rapidity,a,proceeding from,-1
gentleman,this,and though,-1
light,best,in the,-1
thing,a,relate such,-1
valley,the,side of,-1
power,your,be in,-1
consideration,with,mention them,-1
house,his,front of,-1
terms,on,he was,1
nothing,her,would tell,-1
err,greatly,can not,-1
qualities,amiable,netherfield such,1
attentions,great,the very,1
governess,a,you without,-1
clothes,buy,guinea to,1
inconvenience,great,was no,-1
lips,his,without opening,1
fortune,the,suitable to,-1
arrangement,the,fault with,-1
satisfaction,her,to express,-1
look,the,spot or,-1
judgment,her,to have,-1
inquiries,make,determined to,1
husband,her,sister is,-1
rosings,of,in speaking,1
wish,the,house with,-1
way,your,particularly like,-1
day,other,fun the,-1
way,his,said on,-1
looks,his,truth in,1
mother,your,compliments to,-1
resemblance,some,soon found,-1
militia,----shire,not the,-1
child,own,of my,-1
house,the,flew about,-1
foxhounds,of,a pack,1
work,this,based on,-1
place,a,of such,-1
regard,with,no consideration,-1
dialogue,of,consummate command,-1
aunt,her,time and,-1
abilities,want,does not,1
works,electronic,library of,1
aunt,her,much said,-1
hope,the,her with,-1
twelvemonth,a,character for,-1
justice,the,felt anew,-1
shopping,and,in bustle,-1
delight,take,way you,-1
love,but,to everything,-1
sir,man,a sensible,-1
mother,her,equivocal that,-1
mother,her,might turn,-1
residence,former,gardiner s,-1
admiration,from,it jumps,-1
economy,and,of trouble,-1
willingness,perfect,society a,-1
mortifying,such,tones of,-1
sister,their,li illustration,-1
recollection,the,walk when,-1
whole,the,as upon,-1
bitterness,the,exclaim in,-1
promise,a,the family,-1
books,of,a collection,1
stockings,dirty,weary ancles,1
defects,such,liable to,1
terms,the,elizabeth but,1
s,woman,any other,-1
nonsense,no,myself no,-1
joy,of,first tumult,-1
kind,one,drab of,-1
law,state,the applicable,-1
circumstances,the,denial and,1
ones,elder,and the,1
disappointment,another,prepare for,-1
library,circulating,from a,-1
coat,blue,wore a,-1
sense,or,either merit,-1
raptures,first,hear the,1
kind,a,pemberley for,-1
letter,this,of putting,-1
place,a,to see,-1
half,home,be at,-1
relationship,my,bourgh and,-1
agreement,this,terms of,-1
hurry,the,her in,-1
manner,the,as to,-1
sides,both,match on,1
visit,the,pleasure in,-1
mother,my,very difficult,-1
chapter,to,363 heading,-1
evening,this,at pemberley,-1
recollections,those,any of,1
particulars,the,minutely into,1
relief,giving,sake of,-1
debts,his,me before,1
grievances,his,subject of,1
side,either,passed on,-1
one,a,than such,-1
moments,few,in a,1
mother,your,suppose is,-1
pleasure,received,she yet,-1
mind,of,real superiority,-1
care,particular,under the,-1
connection,a,from such,-1
mother,her,to fetch,-1
audience,private,of a,-1
meaning,the,as to,-1
encouragement,general,smiles and,-1
sister,her,cruel said,-1
stranger,the,sight of,-1
pride,but,weakness indeed,-1
engagement,positive,and a,-1
answer,any,of making,-1
husband,your,truly esteemed,-1
compliment,a,attempt at,-1
risk,a,run such,-1
terms,the,it under,1
parties,little,all their,1
occasion,similar,on a,-1
illustration,s.,as jane,-1
discomposure,the,lvii illustration,-1
thoughts,second,but on,1
parsonage,humble,in his,-1
week,this,frequently invited,-1
execution,of,and carelessness,-1
gratitude,of,deeper sentiment,-1
ladyship,her,there and,-1
point,a,on as,-1
love,in,have been,-1
dressing,her,room in,-1
place,first,in the,-1
apology,formal,a slight,-1
friend,his,allusion to,-1
everything,carry,young lovers,-1
love,her,at hunsford,-1
mother,her,know said,-1
gratitude,and,duty honour,-1
pieces,to,tear them,1
mother,her,lizzy said,-1
sake,s,for charlotte,-1
livery,the,carriage nor,-1
letter,his,importance in,-1
attention,much,to need,-1
everybody,family,tradesman s,-1
reason,the,of determining,-1
study,unsuccessful,or an,-1
talk,no,there is,-1
justice,her,not doing,-1
approbation,his,care for,-1
goals,s,gutenberg tm,1
home,her,for compassion,-1
pursuits,present,that her,1
morning,next,day or,-1
purport,the,hardly doubt,-1
occasion,no,there is,-1
pains,the,spite of,1
introduction,her,forward to,-1
treasure,a,given me,-1
objection,no,i have,-1
house,the,room in,-1
satisfaction,the,them to,-1
title,iv,page frontispiece,-1
qualifications,amiable,loveliness and,1
subject,the,to continue,-1
circumstance,the,and that,-1
charm,personal,her own,-1
mile,a,about half,-1
day,to,be got,-1
parents,excellent,both your,1
wishes,on,by dwelling,1
truth,the,short of,-1
matters,such,headstrong in,1
family,your,disrespect to,-1
beauty,greater,look in,-1
opportunity,no,she had,-1
effect:--,this,was to,-1
composure,of,a degree,-1
gown,new,had a,-1
manner,constrained,in a,-1
substance,the,to acknowledge,-1
friend,her,saw that,-1
gentleman,a,they saw,-1
face,his,eyes to,-1
niece,their,talking to,-1
characteristics,the,to them,1
feeling,more,he with,-1
advice,their,affronted by,-1
matrimony,of,the brink,-1
nature,a,acting on,-1
people,young,for the,1
brilliancy,no,complexion has,-1
ladies,the,darcy handed,1
wedding,s,her sister,-1
aunt,dear,father my,-1
breakfast,at,they were,-1
answer,his,keep it,-1
praise,her,sister and,-1
increase,subject,of the,-1
species,numerous,of the,1
word,my,long upon,-1
unconcern,perfect,with the,-1
friends,his,respects to,1
love,dearest,but my,-1
vindication,s,was darcy,-1
months,many,has been,1
marrying,for,my reasons,-1
home,from,little relief,-1
restraint,all,disdain of,-1
men,young,of the,1
certainty,any,not with,-1
particulars,the,forster repeat,1
father,a,so deranged,-1
character,whose,younge in,-1
marriage,his,mrs. bennet,-1
morning,every,at home,-1
freedom,with,might think,-1
uncle,your,my impertinence,-1
estate,an,to purchase,-1
mind,her,more but,-1
work,electronic,of this,-1
none,that,decidedly says,-1
nephews,two,there were,1
taste,no,no style,-1
self,the,counteracted by,-1
dependence,sole,indeed my,-1
room,the,she quitted,-1
miles,thirty,were within,1
success,your,what is,-1
competition,of,the sort,-1
consideration,further,it into,-1
conduct,his,as placing,-1
lieu,in,his receiving,-1
love,in,they fall,-1
anyone,to,apparently be,-1
breakfast,after,followed him,-1
disapprobation,their,grieved at,-1
acknowledgment,grateful,terms of,-1
owner,trademark,foundation the,-1
creature,only,was the,-1
supper,at,the dishes,-1
bow,a,stopped with,-1
notice,public,from the,-1
work,at,sat intently,-1
accent,her,unreasonable as,-1
fortune,large,man of,-1
hand,your,offer of,-1
visit,s,miss bingley,-1
diffidence,the,hope though,-1
deal,great,all a,-1
claims,what,it and,1
rain,to,seems likely,-1
room,the,came into,-1
houses,great,tired of,1
playfulness,her,addition to,-1
friend,her,collins welcomed,-1
coming,his,not prefer,-1
house,the,shrubbery behind,-1
attempt,every,about with,-1
reply,any,consequence of,-1
conversation,this,satisfied with,-1
dirt,this,in all,-1
box,barouche,to the,-1
business,undertaking,dilatory in,-1
ideas,my,the rest,1
attorney,an,uncle is,-1
aunt,and,my uncle,-1
child,well,do extremely,-1
sheet,a,hastily seizing,-1
regiment,the,again by,-1
objects,the,who are,1
subject,the,dialogue on,-1
trees,many,tell how,1
invitation,an,scarcely needed,-1
accounts,different,hear such,1
visit,state,any particular,-1
illustration,lix,allen chapter,-1
acquaintance,s,half hour,-1
nind,aloud,read it,-1
copyright,syllable,utter a,-1
approbation,her,to for,-1
things,many,yet how,1
valley,the,visited and,-1
instant,an,seen for,-1
answer,no,and made,-1
length,the,happy for,-1
parting,serious,only one,-1
fact,in,opinions which,-1
humour,good,sense and,-1
occasion,took,he afterwards,-1
acquaintance,on,he improved,-1
mother,her,victim to,-1
ways,his,intimacy with,1
solidity,the,herself upon,-1
sister,her,smiling than,-1
distance,convenient,a most,-1
letter,s,my uncle,-1
answer,no,elizabeth made,-1
spirits,her,to support,1
north,the,off for,-1
danger,in,to be,-1
attachment,strong,a real,-1
summer,last,whole of,-1
morrow,to,pay him,-1
officers,the,invitation to,1
regard,with,your feelings,-1
sisters,his,in supposing,1
wishes,his,attention to,1
conquest,important,a very,-1
engagement,supposed,off her,-1
object,interesting,a more,-1
man,young,of a,-1
partiality,blind,bingley whose,-1
uncle,my,him money,-1
neighbourhood,the,come into,-1
copies,distribute,to or,1
mouth,the,put into,-1
feelings,my,not suit,1
neighbourhood,the,happened in,-1
length,some,however at,-1
sentiment,deeper,with a,-1
attachment,serious,feeling a,-1
liberality,and,such forbearance,-1
consequence,miraculous,"rather tanned,--no",-1
dear,my,upon it,-1
favour,his,everything in,-1
time,this,and from,-1
journey,their,account of,-1
cousin,your,said she,-1
efforts,united,recurring the,1
health,to,her restoration,-1
regard,peculiar,symptom of,-1
work,electronic,with an,-1
opinions,any,to adopt,1
probability,the,and on,-1
children,own,from your,1
obligation,no,and which,-1
mother,her,tremble lest,-1
man,young,added a,-1
aunt,and,her uncle,-1
anybody,than,of september,-1
debt,in,meryton greatly,-1
niece,her,gratified by,-1
effects,its,explained what,1
entrance,his,him before,-1
tumult,first,when the,-1
housekeeper,the,comparison with,-1
hurry,violent,in a,-1
brother,his,found out,-1
garden,his,views which,-1
public,the,impose on,-1
instrument,the,directly to,-1
sheet,a,envelope contained,-1
sense,restricted,in its,-1
right,a,not claim,-1
consciousness,the,hells beneath,-1
plan,his,this was,-1
pardon,his,shall entreat,-1
hand,second,accept the,-1
day,the,invitation to,-1
friends,as,have known,1
woman,a,never marry,-1
story,her,in telling,-1
feeling,other,than any,-1
passions,their,together because,1
temper,my,of understanding,-1
daughters,five,provided for,1
spring,the,grown since,-1
performers,best,the very,1
way,this,talking in,-1
nature,different,a very,-1
field,after,crossing field,-1
measures,the,to adopt,1
manners,s,colonel fitzwilliam,1
daughter,her,catherine and,-1
expectation,every,now lost,-1
manners,unaffected,and easy,1
disapprobation,of,that groundwork,-1
meat,some,order in,-1
extent,common,of the,-1
mistake,the,shocked at,-1
resignation,daughter,of your,-1
women,like,where they,1
visit,the,whole of,-1
sort,a,to be,-1
doubt,in,a little,-1
wife,his,that by,-1
diffidence,his,jane on,-1
royalties,paying,license including,1
daughter,her,before yesterday,-1
days,a,men now,1
information,for,to try,-1
state,a,preserved from,-1
moment,the,now was,-1
relief,material,soon afterwards,-1
editions,print,works from,1
sex,other,to the,-1
certainty,equal,thought with,-1
care,of,prodigious deal,-1
child,my,and misery,-1
father,your,settle with,-1
garden,the,phaeton at,-1
breach,continual,thoughts that,-1
daughter,the,miss darcy,-1
sense,common,possibility of,-1
gentleness,very,in the,-1
design,here,in settling,-1
sort,a,not of,-1
character,wants,her nose,-1
inclination,no,in elizabeth,-1
friends,her,company for,1
stables,the,it to,1
cards,for,not wish,1
forbearance,his,tax on,-1
works,electronic,gutenberg tm,1
anything,do,oh lizzy,-1
saucy,every,ever encouraged,-1
difficulty,the,proceed from,-1
temper,uncertain,information and,-1
information,little,mean understanding,-1
event,single,on any,-1
parlour,the,were in,-1
whence,grounds,the higher,-1
aunt,no,meryton once,-1
officers,the,some of,1
lips,his,replied biting,1
chance,fortunate,prosperity a,-1
accent,an,she heard,-1
dance,the,evening of,-1
advantage,that,at least,-1
father,your,nature on,-1
report,favourable,a very,-1
improvement,the,totally suspended,-1
bow,slight,by a,-1
town,to,your coming,-1
miniature,term,use the,-1
emotions,s,mr. bennet,1
aunt,her,bennet accepted,-1
sister,her,instrument by,-1
reply,in,only said,-1
power,her,be in,-1
follies,the,of all,1
sort,different,of a,-1
"sure,--therefore",am,twenty i,-1
tackle,fishing,him with,-1
eye,the,ceased and,-1
truth,the,revealed for,-1
unbending,or,self consequence,-1
right,no,i have,-1
lady,young,present this,-1
nineteenth,early,in the,-1
love,personal,loving with,-1
word,my,good as,-1
account,his,having settled,-1
week,a,four times,-1
service,of,may be,-1
parish,his,his leaving,-1
life,a,of such,-1
domain,public,in the,-1
infancy,their,kind from,-1
reflections,agreeable,train of,1
music,in,no excellence,-1
happiness,the,present assurances,-1
figure,her,than sixteen,-1
illustration,both,hand to,-1
servant,a,opened by,-1
mail,e,or by,-1
manner,what,heard in,-1
husband,your,friend and,-1
neighbours,her,reading in,1
charge,your,make does,-1
visit,this,days after,-1
father,my,immediately before,-1
affection,of,good foundations,-1
correspondence,s,mr. collins,-1
accident,that,convinced her,-1
husband,her,there when,-1
nothing,me,family owe,-1
dinner,after,sat there,-1
effect,this,herself by,-1
sufficiency,self,is a,-1
walk,gravel,a short,-1
day,a,seems but,-1
stairs,the,181 on,1
suitableness,a,as companions,-1
exertion,its,to expect,-1
letter,her,answer to,-1
conviction,immediate,suppose carried,-1
day,the,on business,-1
place,the,laws of,-1
sisters,his,him or,1
book,large,close his,-1
account,an,to give,-1
gentleman,the,contempt of,-1
expression,every,gloried in,-1
journey,my,reason of,-1
sense,general,with better,-1
parting,his,letter illustration,-1
mind,of,her absence,-1
misery,the,find that,-1
country,the,he left,-1
pride,of,tenderness than,-1
importance,natural,of some,-1
sisters,his,distinguished by,1
stiffness,by,her but,-1
laws,federal,by u.s.,1
temper,a,had not,-1
letter,the,folded up,-1
vanity,but,wretchedly blind,-1
something,say,turn to,-1
recollections,unlucky,when some,1
user,the,expense to,-1
daughter,his,him of,-1
matrimony,of,men or,-1
effusion,an,that such,-1
connections,s,lady catherine,1
officers,three,two or,1
life,his,part of,-1
disappointment,her,and of,-1
account,the,throw into,-1
matter,the,quite mistake,-1
house,the,i entered,-1
harm,no,think it,-1
amusement,the,gentleman dislikes,-1
day,last,the very,-1
eyes,fine,of her,1
house,the,they entered,-1
